"Window","Preferences","Ctrl+,","In Dialogs and Windows"
"EMF Code Generation","Generate Code","Alt+Shift+G","In Windows"
"Window","Show System Menu","Alt+-","In Windows"
"HandySplit","Clone editor ()","Ctrl+W, C","In Windows"
"Window","Show Ruler Context Menu","Ctrl+F10","Editing Text"
"Source","Add Import","Ctrl+Shift+M","Editing Java Source"
"Edit","Undo","Ctrl+Z","In Windows"
"Navigate","Go to Previous Member","Ctrl+Shift+Up","Editing JavaScript Source"
"SQL Results View","Remove Result","Ctrl+Delete","In Windows"
"Edit","Content Assist","Ctrl+Space","In Dialogs and Windows"
"Navigate","Previous Sub-Tab","Alt+PageUp","In Dialogs and Windows"
"Text Editing","Line Start","Ctrl+A","Editing Text"
"Edit","Quick Diff Toggle","Ctrl+Shift+Q","Editing Text"
"Edit","Select Enclosing Element","Alt+Shift+Up","Editing JavaScript Source"
"Window","Previous Editor","Ctrl+Shift+Tab","In Windows"
"Edit","Undo","Ctrl+Z","Editing Text"
"Text Editing","Scroll Line Down","Ctrl+Down","Editing Text"
"Edit","Open Selection","F3","Editing in Structured Text Editors"
"Task Repositories","Mark Task Incomplete","Alt+Shift+I","In Tasks View"
"SQL Results View","Terminate Result","Ctrl+Break","In Windows"
"Project","Build All","Ctrl+B","In Windows"
"Text Editing","Delete Line","Ctrl+Shift+K","In Windows"
"Window","Maximize Active View or Editor","Ctrl+M","In Windows"
"Run/Debug","Debug XSLT Transformation","Alt+Shift+D, X","In Windows"
"Search","Declaration in Workspace","Ctrl+G","In Windows"
"Database Tools","Run","Ctrl+Alt+R","Editing SQL"
"Edit","Move","Alt+Shift+V","Editing JSP Source"
"Navigate","Show In Breadcrumb","Alt+Shift+B","Editing Java Source"
"Run/Debug","Debug","Alt+F11","In Windows"
"Database Tools","Execute All","Ctrl+Alt+X","Editing SQL"
"Navigate","Expand All","Ctrl+W, Ctrl+Numpad_Add","In Windows"
"Navigate","Quick Outline","Ctrl+O","PDE editor"
"Navigate","Open Structure","Ctrl+F3","Editing Java Source"
"Terminal view commands","Terminal view insert","Alt+Y","Terminal Typing Connected"
"Edit","Toggle Comment","Ctrl+Shift+C","Editing in Structured Text Editors"
"Source","Toggle Comment","Ctrl+/","Editing JavaScript Source"
"Server","Run","Ctrl+Alt+R","In Servers View"
"Window","Select Maven Profiles","Ctrl+Alt+P","In Windows"
"Source","Remove Block Comment","Ctrl+Shift+\","Editing JavaScript Source"
"File","Close All","Ctrl+Shift+F4","In Windows"
"Source","Quick Assist - Rename in file","Ctrl+2, R","Editing JavaScript Source"
"Run/Debug","New Rendering","Ctrl+N","In Memory View"
"Terminal view commands","Terminal view insert","Alt+E","Terminal Typing Connected"
"Refactor - Java","Extract Local Variable","Alt+Shift+L","In Windows"
"HandySplit","Move editor","Ctrl+W, Shift+Tab","In Windows"
"Source","Toggle Comment","Ctrl+Shift+C","Editing Java Source"
"Navigate","Open Type","Ctrl+Shift+T","In Windows"
"SVN","Show Revision Graph...","Ctrl+Alt+Y","In Windows"
"Edit","Delete","Delete","In Windows"
"Navigate","Open Resource","Ctrl+T","In Windows"
"Views","Documentation","Alt+Shift+Q, J","JavaScript View"
"File","Print","Ctrl+P","In Windows"
"Terminal view commands","Quick Access","Alt+Right","Terminal Control in Focus"
"Run/Debug","Execute","Ctrl+U","In Windows"
"Task Repositories","Show Tooltip Description","F4","In Tasks View"
"Source","Organize Imports","Ctrl+Shift+O","In Windows"
"Terminal view commands","Terminal view insert","Alt+W","Terminal Typing Connected"
"ASA 9.x table schema editor","Paste","Alt+V","In Windows"
"Window","Update Project","Alt+F5","In Windows"
"Terminal view commands","Terminal view insert","Alt+P","Terminal Typing Connected"
"Focused UI","Show Context Quick View","Ctrl+Alt+Shift+Right","In Windows"
"Terminal view commands","Copy","Ctrl+Shift+C","Terminal Control in Focus"
"Edit","Paste","Ctrl+V","In Dialogs and Windows"
"Source","Organize Imports","Ctrl+Shift+O","JavaScript View"
"Terminal view commands","Paste","Ctrl+Shift+V","Terminal Control in Focus"
"Run/Debug","Skip All Breakpoints","Ctrl+Alt+B","In Windows"
"Run/Debug","Run Java Application","Alt+Shift+X, J","In Windows"
"Views","Show View (Project Explorer)","Ctrl+²","In Windows"
"Source","Show Source Quick Menu","Alt+Shift+S","JavaScript View"
"Database Tools","Edit in SQL Query Builder...","Alt+Q","Editing SQL"
"Run/Debug","Run JUnit Plug-in Test","Ctrl+Alt+T","In Windows"
"Server","Stop","Ctrl+Alt+S","In Servers View"
"SVN","Latest from Repository","Ctrl+Alt+L","In Windows"
"Terminal view commands","Paste","Shift+Insert","Terminal Control in Focus"
"Navigate","Open Type in Hierarchy","Ctrl+Shift+H","JavaScript View"
"Navigate","Quick Outline","Ctrl+Shift+O","Task Markup Editor Source Context"
"File","Rename","F2","In Windows"
"Search","Declaration in Workspace","Ctrl+G","JavaScript View"
"Refactor - JavaScript","Rename - Refactoring ","Alt+Shift+R","JavaScript View"
"Run/Debug","Run","Ctrl+F11","In Windows"
"Run/Debug","Step Into","F5","Debugging"
"Source","Toggle Comment","Ctrl+Shift+C","Editing JavaScript Source"
"Text Editing","Insert Line Above Current Line","Ctrl+Shift+Enter","Editing Text"
"Navigate","Open Type Hierarchy","F4","In Windows"
"Edit","Toggle Block Selection","Alt+Shift+A","Editing Text"
"Navigate","Open Manifest","Ctrl+Alt+Shift+M","In Windows"
"Run/Debug","Debug Eclipse Application","Alt+Shift+D, E","In Windows"
"Task Repositories","New Local Task","Insert","In Tasks View"
"Navigate","Open Declaration","F3","In Windows"
"View","Zoom In","Ctrl+Numpad_Add","In Windows"
"Run/Debug","Debug OSGi Framework","Alt+Shift+D, O","In Windows"
"Navigate","Open from Clipboard","Ctrl+Shift+V","In Windows"
"Run/Debug","Force Return","Alt+Shift+F","In Windows"
"Text Editing","Recenter","Ctrl+L","Editing Text"
"Source","Annotate Class File","Ctrl+1","Browsing attached Java Source"
"Navigate","Open Task","Ctrl+F12","In Windows"
"Git","Copy Path to Clipboard","Ctrl+C","In Git Repositories View"
"Text Editing","Move Lines Down","Alt+Down","Editing Text"
"Text Editing","Delete Previous Word","Ctrl+Backspace","Editing Text"
"Source","Toggle Ant Mark Occurrences","Alt+Shift+O","Editing Ant Buildfiles"
"Edit","Copy","Ctrl+Insert","In Dialogs and Windows"
"Edit","Context Information","Alt+Shift+?","In Windows"
"Run/Debug","Debug JUnit Test","Alt+Shift+D, T","In Windows"
"HandySplit","Toggle focus between split editors","Ctrl+W, Tab","In Windows"
"Source","Quick Assist - Assign to var","Ctrl+2, F","Editing JavaScript Source"
"HandySplit","Split editor ()","Ctrl+Alt+S, S","In Windows"
"Text Editing","Set Mark","Ctrl+2","Editing Text"
"Run/Debug","Step Over","F6","Debugging"
"Text Editing","Cut to Beginning of Line","Alt+0, Ctrl+K","Editing Text"
"Text Editing","Collapse All","Ctrl+W, Ctrl+Numpad_Subtract","Editing Text"
"Task Repositories","Mark Task Read and Go To Previous Unread Task","Alt+Shift+Up","In Tasks View"
"Refactor - JavaScript","Extract Function","Alt+Shift+M","JavaScript View"
"Terminal view commands","Terminal view insert","Alt+R","Terminal Typing Connected"
"Run/Debug","Step Return","F7","Debugging"
"Manifest Editor Source","Format Source","Ctrl+Shift+F","PDE editor"
"Edit","Context Information","Ctrl+Shift+Space","In Dialogs and Windows"
"Edit","Restore Last Selection","Alt+Shift+Down","Editing Java Source"
"Edit","Paste","Shift+Insert","In Dialogs and Windows"
"Navigate","Collapse All","Ctrl+W, Ctrl+Numpad_Subtract","In Windows"
"Text Editing","Page Up","Alt+V","Editing Text"
"Edit","Copy","Ctrl+C","In Dialogs and Windows"
"Text Editing","Line Start","Ctrl+A","Editing Text"
"Navigate","Show In Breadcrumb","Alt+Shift+B","Editor Breadcrumb Navigation"
"Navigate","Next Page","Alt+F7","In Windows"
"Navigate","Go To Previous Unread Task","Alt+Up","In Tasks View"
"Text Editing","Zoom In","Ctrl+Numpad_Add","Editing Text"
"Text Editing","Delete Previous Word","Alt+Backspace","Editing Text"
"Uncategorized","Copy SHA-1","Ctrl+C","In Git Reflog View"
"Edit","Content Assist","Alt+/","In Dialogs and Windows"
"Navigate","Previous Page","Alt+Shift+F7","In Windows"
"Task Repositories","Mark Task Read","Alt+Shift+R","In Tasks View"
"Views","JavaScript Declaration","Alt+Shift+Q, D","JavaScript View"
"Source","Quick Assist - Assign to local variable","Ctrl+2, L","Editing JavaScript Source"
"Run/Debug","Toggle Breakpoint","Ctrl+Shift+B","In Windows"
"Run/Debug","Use Step Filters","Shift+F5","In Windows"
"Text Editing","Next Word","Ctrl+Right","Editing Text"
"Server","Debug","Ctrl+Alt+D","In Servers View"
"Terminal view commands","Terminal view insert","Alt+D","Terminal Typing Connected"
"Run/Debug","Debug Java Applet","Alt+Shift+D, A","In Windows"
"Uncategorized","Show Markup Cheat Sheet","F1","WikiText Markup Source Context"
"Run/Debug","Debug JUnit Plug-in Test","Alt+Shift+D, P","In Windows"
"JavaScript Debug","JavaScript Breakpoint Properties","Ctrl+Enter","In Breakpoints View"
"Window","Previous View","Ctrl+Shift+F7","In Windows"
"Run/Debug","Next Memory Monitor","Ctrl+Alt+N","In Memory View"
"Source","Surround With Quick Menu","Alt+Shift+Z","JavaScript View"
"Edit","Select Enclosing Element","Alt+Shift+Up","Editing in Structured Text Editors"
"Text Editing","Duplicate Lines","Ctrl+Shift+D","Editing Text"
"Task Repositories","New Subtask","Shift+Insert","In Tasks View"
"Refactor - Java","Extract Method","Alt+Shift+M","In Windows"
"Terminal view commands","Terminal view insert","Alt+G","Terminal Typing Connected"
"Source","Quick Assist - Extract method","Ctrl+2, M","Editing Java Source"
"File","Close All","Ctrl+Shift+W","In Windows"
"Navigate","Open Type","Ctrl+Shift+T","Editing JavaScript Source"
"Navigate","Quick Outline","Ctrl+O","Editing Java Source"
"Views","Show View (Javadoc)","Ctrl+'","In Windows"
"Run/Debug","Rerun JUnit Test - Failures First","Ctrl+Alt+T","In Windows"
"File","New menu","Alt+Shift+N","In Windows"
"Source","Open Declaration","F3","Editing Ant Buildfiles"
"Edit","Select Next Element","Alt+Shift+Right","Editing Java Source"
"Window","Previous Perspective","Ctrl+Shift+F8","In Windows"
"Window","Next Editor","Ctrl+Tab","In Windows"
"Search","Find Text in Workspace","Ctrl+Alt+G","In Windows"
"Navigate","Open Type Hierarchy","F4","JavaScript View"
"Navigate","Search Repository for Task","Ctrl+Shift+F12","In Windows"
"Text Editing","Expand","Ctrl+W, Numpad_Add","Editing Text"
"Web Page Editor Layout","Source Code","Ctrl+Shift+F12","Using Web Page Editor"
"Text Editing","Line End","Ctrl+E","Editing Text"
"Search","Open Search Dialog","Ctrl+H","In Windows"
"Run/Debug","Inspect","Ctrl+Shift+I","Chromium Debug"
"File","Refresh","F5","In Windows"
"Refactor - JavaScript","Move - Refactoring ","Alt+Shift+V","JavaScript View"
"Navigate","Show In...","Alt+Shift+W","In Windows"
"Views","JavaScript Type Hierarchy","Alt+Shift+Q, T","JavaScript View"
"Navigate","Next Sub-Tab","Alt+PageDown","In Dialogs and Windows"
"Refactor - JavaScript","Inline","Alt+Shift+I","JavaScript View"
"Source","Remove Block Comment","Ctrl+Shift+\","Editing Java Source"
"JavaScript Debug","Evaluate","Alt+Shift+E","Editing JavaScript Source"
"Navigate","Quick Outline","Ctrl+O","Editing in Structured Text Editors"
"Server","Publish","Ctrl+Alt+P","In Servers View"
"Window","Quick Access","Ctrl+Shift+P","In Windows"
"Terminal view commands","Copy","Ctrl+Insert","Terminal Control in Focus"
"Text Editing","Expand All","Ctrl+W, Ctrl+Numpad_Add","Editing Text"
"Edit","Matching Tag","Ctrl+Shift+>","Editing in Structured Text Editors"
"Run/Debug","Debug Ant Build","Alt+Shift+D, Q","In Windows"
"Text Editing","Copy Lines","Ctrl+Alt+Down","Editing Text"
"Terminal view commands","Terminal view insert","Alt+B","Terminal Typing Connected"
"Navigate","Forward History","Alt+Right","In Windows"
"Focused UI","Focus on Active Task","Alt+Shift+H","In Windows"
"Refactor - JavaScript","Change Function Signature","Alt+Shift+C","JavaScript View"
"Search","References in Workspace","Ctrl+Shift+G","In Windows"
"File","Print","Alt+F9","In Windows"
"Terminal view commands","Terminal view insert","Alt+T","Terminal Typing Connected"
"Run/Debug","Rerun JUnit Test","Ctrl+Alt+T","In Windows"
"Run/Debug","Add Memory Block","Ctrl+Alt+M","In Memory View"
"Text Editing","Delete Previous Word","Esc, Backspace","Editing Text"
"Edit","Add Block Comment","Ctrl+Shift+/","Editing in Structured Text Editors"
"Run/Debug","Run Maven Build","Alt+Shift+X, M","In Windows"
"Source","Format","Ctrl+Shift+F","Editing JavaScript Source"
"Text Editing","Select Line Start","Ctrl+Shift+A","Editing Text"
"Navigate","Next Page","Ctrl+F5","Using Web Page Editor"
"Edit","Select Previous Element","Alt+Shift+Left","Editing JavaScript Source"
"File","Print","Esc, F9","In Windows"
"HandySplit","Exchange editors","Ctrl+W, Ctrl+Tab","In Windows"
"Text Editing","Zoom Out","Ctrl+Numpad_Subtract","Editing Text"
"Edit","Redo","Ctrl+Y","In Windows"
"Navigate","Go to Line","Ctrl+L","Editing Text"
"Navigate","Next Page","Ctrl+F5","In Faces Config Editor"
"Run/Debug","Java Breakpoint Properties","Alt+Enter","In Breakpoints View"
"Edit","Add Im&port","Ctrl+Shift+M","Editing JSP Source"
"Edit","Select Previous Element","Alt+Shift+Left","Editing Java Source"
"Text Editing","Previous Word","Alt+B","Editing Text"
"Run/Debug","Run Ant Build","Alt+Shift+X, A","In Windows"
"Edit","Find and Replace","Alt+R","In Windows"
"Database Tools","Execute Current Text","Alt+S","Editing SQL"
"Edit","Remove Block Comment","Ctrl+Shift+\","Editing in Structured Text Editors"
"Task Repositories","Mark Task Complete","Alt+Shift+C","In Tasks View"
"Source","Toggle Comment","Ctrl+7","Editing Properties Files"
"Window","Show Contributing Plug-in","Alt+Shift+F3","In Dialogs and Windows"
"Edit","Find Previous","Ctrl+Shift+K","Editing Text"
"HandySplit","Flatten split editors","Ctrl+W, U","In Windows"
"Navigate","Open Maven POM","Alt+Shift+P","In Windows"
"File","Close","Ctrl+F4","In Windows"
"Focused UI","Make Less Interesting","Ctrl+Alt+Shift+Down","In Windows"
"Edit","Copy","Alt+W","In Dialogs and Windows"
"Run/Debug","Resume","F8","Debugging"
"Text Editing","Line End","Ctrl+E","Editing Text"
"Window","Show Key Assist","Ctrl+Shift+L","In Dialogs and Windows"
"Refactor - Java","Change Method Signature","Alt+Shift+C","In Windows"
"Source","Toggle Comment","Ctrl+7","Editing Java Source"
"Source","Remove Occurrence Annotations","Alt+Shift+U","Editing Java Source"
"Run/Debug","Step Into Selection","Ctrl+F5","Debugging"
"Text Editing","Delete to End of Line","Ctrl+Shift+Delete","Editing Text"
"Navigate","Previous Page","Ctrl+Shift+F5","In Faces Config Editor"
"Refactor - Java","Inline","Alt+Shift+I","In Windows"
"Text Editing","Reset Structure","Ctrl+Shift+Numpad_Multiply","Editing Text"
"Refactor - Java","Rename - Refactoring ","Alt+Shift+R","In Windows"
"Terminal view commands","Terminal view insert","Alt+A","Terminal Typing Connected"
"Database Tools","Execute Selected Text As One Statement","Alt+C","Editing SQL"
"Window","Switch to Editor","Ctrl+É","In Windows"
"Terminal view commands","Terminal view insert","Alt+H","Terminal Typing Connected"
"Text Editing","Cut Line","Ctrl+Shift+X","In Windows"
"Database Tools","Execute Selected Text","Alt+X","Editing SQL"
"Edit","Restore Last Selection","Alt+Shift+Down","Editing JavaScript Source"
"Task Repositories","Quick Outline","Ctrl+O","In Tasks Editor"
"Source","Format","Ctrl+Shift+F","Editing Java Source"
"Navigate","Open Type in Hierarchy","Ctrl+Shift+H","In Windows"
"SVN","Merge...","Ctrl+Alt+E","In Windows"
"Terminal view commands","Terminal view insert","Alt+C","Terminal Typing Connected"
"ASA 9.x table schema editor","Copy","Alt+C","In Windows"
"Edit","Find and Replace","Ctrl+F","In Windows"
"Text Editing","Show Tooltip Description","F2","Editing Text"
"Run/Debug","Run JUnit Test","Ctrl+Alt+T","In Windows"
"Run/Debug","Run to Line","Ctrl+R","Debugging"
"Source","Show Source Quick Menu","Alt+Shift+S","In Windows"
"Source","Toggle Comment","Ctrl+/","Editing Properties Files"
"Source","Rename In File","Alt+Shift+R","Editing Ant Buildfiles"
"File","Save","Ctrl+S","In Windows"
"Source","Quick Assist - Assign to field","Ctrl+2, F","Editing Java Source"
"Git","Paste Repository Path or URI","Ctrl+V","In Git Repositories View"
"Search","References in Workspace","Ctrl+Shift+G","JavaScript View"
"Run/Debug","Debug Java Application","Alt+Shift+D, J","In Windows"
"SVN","Lock...","Ctrl+Alt+K","In Windows"
"Edit","Select Enclosing Element","Alt+Shift+Up","Editing Java Source"
"Refactor - Java","Move - Refactoring ","Alt+Shift+V","In Windows"
"Navigate","Open Declaration","F3","JavaScript View"
"Source","Surround With Quick Menu","Alt+Shift+Z","In Windows"
"SVN","Add to svn:ignore...","Ctrl+Alt+I","In Windows"
"Edit","Select Next Element","Alt+Shift+Right","Editing JavaScript Source"
"Window","Next View","Ctrl+&","In Windows"
"Source","Toggle Mark Occurrences","Alt+Shift+O","Editing Java Source"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","In Windows"
"Database Tools","Debug","Ctrl+Alt+D","Editing SQL"
"Text Editing","Scroll Line Up","Alt+Z","Editing Text"
"Source","Add Block Comment","Ctrl+Shift+/","Editing JavaScript Source"
"Source","Remove Occurrence Annotations","Alt+Shift+U","Editing JavaScript Source"
"Run/Debug","Previous Page of Memory","Ctrl+Shift+,","In Table Memory Rendering"
"View","Zoom Out","Ctrl+Numpad_Subtract","In Windows"
"Text Editing","Collapse","Ctrl+W, Numpad_Subtract","Editing Text"
"Source","Add Import","Ctrl+Shift+M","Editing JavaScript Source"
"Edit","Select Next Element","Alt+Shift+Right","Editing in Structured Text Editors"
"Edit","Find and Replace","Esc, R","In Windows"
"Search","Show Occurrences in File Quick Menu","Ctrl+Shift+U","JavaScript View"
"File","New","Ctrl+N","In Windows"
"Text Editing","Previous Word","Ctrl+Left","Editing Text"
"Edit","Copy","Esc, W","In Dialogs and Windows"
"Source","Toggle Comment","Ctrl+7","Editing JavaScript Source"
"Text Editing","Select Next Word","Ctrl+Shift+Right","Editing Text"
"Terminal view commands","Terminal view insert","Alt+F","Terminal Typing Connected"
"Task Repositories","Open Selected Task","Ctrl+Enter","In Tasks View"
"Navigate","Open Attached Javadoc","Shift+F2","In Windows"
"Navigate","Open Remote Task","Ctrl+Alt+Shift+F12","In Windows"
"Edit","Toggle Comment","Ctrl+/","Editing SQL"
"Spy","Plug-in Menu Spy","Alt+Shift+F2","In Dialogs and Windows"
"Window","Toggle Full Screen","F11","In Windows"
"File","Properties","Alt+Enter","In Windows"
"File","Close","Ctrl+W, Ctrl+W","In Windows"
"Navigate","Go to Next Member","Ctrl+Shift+Down","Editing JavaScript Source"
"Text Editing","Insert Line Below Current Line","Ctrl+Enter","Editing Text"
"Source","Add Javadoc Comment","Alt+Shift+J","In Windows"
"Navigate","Open Structure","Ctrl+F3","Editing JavaScript Source"
"Source","Format","Ctrl+Shift+F","Editing Ant Buildfiles"
"Edit","Select Previous Element","Alt+Shift+Left","Editing in Structured Text Editors"
"Source","Toggle Comment","Ctrl+:","Editing Java Source"
"Text Editing","Move Lines Up","Alt+Up","Editing Text"
"Source","Quick Assist - Assign to local variable","Ctrl+2, L","Editing Java Source"
"SQL Results View","Remove All Visible Results","Shift+Delete","In Windows"
"Edit","Restore Last Selection","Alt+Shift+Down","Editing in Structured Text Editors"
"Run/Debug","Terminate","Ctrl+F2","Debugging"
"Text Editing","Page Up","Esc, V","Editing Text"
"Uncategorized","Add Artifact to Target Platform","Ctrl+Alt+Shift+A","In Windows"
"Navigate","Go to Previous Member","Ctrl+Shift+Up","Editing Java Source"
"Search","Show Occurrences in File Quick Menu","Ctrl+Shift+U","In Windows"
"Edit","Toggle Word Wrap","Alt+Shift+Y","Editing Text"
"Text Editing","Scroll Line Up","Ctrl+Up","Editing Text"
"Navigate","Deactivate Task","Ctrl+Shift+F9","In Windows"
"Edit","Quick Fix","Ctrl+1","In Dialogs and Windows"
"Terminal view commands","Terminal view insert","Alt+V","Terminal Typing Connected"
"Text Editing","Cut to Beginning of Line","Esc, 0, Ctrl+K","Editing Text"
"Run/Debug","Inspect","Ctrl+Shift+I","In Dialogs and Windows"
"Edit","Word Completion","Alt+/","Editing Text"
"Run/Debug","Run on Server","Alt+Shift+X, R","In Windows"
"Task Repositories","Mark Task Unread","Alt+Shift+U","In Tasks View"
"Text Editing","Clear Mark","Ctrl+G","Editing Text"
"Source","Quick Assist - Rename in file","Ctrl+2, R","Editing Java Source"
"HandySplit","Split editor ()","Ctrl+W, I","In Windows"
"Source","Toggle Comment","Ctrl+Shift+C","Editing Properties Files"
"JavaScript Debug","Open Source","Ctrl+Shift+3","Debugging"
"SVN","Commit...","Ctrl+Alt+C","In Windows"
"Source","Open External Documentation","Shift+F2","Editing Ant Buildfiles"
"Navigate","Previous Page","Ctrl+Shift+F5","Using Web Page Editor"
"Source","Add Block Comment","Ctrl+Shift+/","Editing Java Source"
